TimeStep,Whales,Seals,Cod,Whiting,Mackerel,Anchovy,Shrimp,Benthos,Zooplankton,Phytoplankton,Detritus
123,0.097861,0.06673679,3.449583,1.552384,0.7176772,5.940312,0.8243023,26.18741,9.683398,5.775138,7.543285
124,0.0979187,0.06686354,3.445214,1.552838,0.7163484,5.88401,0.8245978,25.26496,6.955445,11.45632,6.151682
125,0.09798463,0.06699926,3.442885,1.553974,0.7114545,5.677849,0.8283842,23.60182,9.350222,16.5948,7.736229
126,0.09806056,0.06713682,3.442505,1.555069,0.708483,5.491745,0.8335144,22.42594,15.34241,16.24071,11.04246
127,0.09813674,0.06725996,3.442173,1.555097,0.7118191,5.502055,0.8359572,22.60517,17.62077,17.51714,12.60207
128,0.09820212,0.06736093,3.438951,1.55375,0.7180328,5.652722,0.8313784,23.96141,19.35213,8.121132,13.94946
129,0.0982559,0.06744337,3.432687,1.551893,0.7258019,5.906638,0.8221495,25.70883,15.43887,3.318456,10.97352
130,0.09830644,0.06752789,3.425981,1.551059,0.7301907,6.061908,0.8154371,26.30403,9.071527,5.66147,7.16939
131,0.09836402,0.06763536,3.421608,1.551853,0.7282751,5.982073,0.8156534,25.24375,6.528094,11.85835,5.887017
132,0.09843104,0.06775751,3.419731,1.553388,0.722973,5.751965,0.8203906,23.47575,9.124695,16.98347,7.676868
133,0.09850904,0.06788616,3.41978,1.5547,0.7199478,5.548898,0.8276188,22.24894,15.6032,15.8255,11.17161
134,0.09858476,0.06799755,3.419304,1.554599,0.7236339,5.565864,0.8314638,22.44732,17.49738,17.57546,12.49537
135,0.09864874,0.0680752,3.415334,1.553016,0.7298178,5.714228,0.827231,23.79243,18.79521,9.210326,13.80033
136,0.09870103,0.06813124,3.408044,1.550861,0.7370297,5.947801,0.8176962,25.52963,15.53232,3.203159,11.21709
137,0.0987504,0.06819522,3.400325,1.54958,0.741301,6.096154,0.8106804,26.1787,9.299901,5.008884,7.242492
138,0.0988074,0.06828649,3.395074,1.550041,0.7394848,6.017631,0.8111553,25.12524,6.311798,11.69692,5.685667
139,0.09887252,0.06839186,3.391994,1.551144,0.7337608,5.781518,0.8156979,23.32223,8.383973,19.47903,7.37409
140,0.09894979,0.06849945,3.390898,1.55228,0.7298647,5.553885,0.821465,22.18104,16.33073,15.61226,11.92408
141,0.09902649,0.06859323,3.38973,1.552209,0.7342023,5.58654,0.824589,22.66261,18.31817,17.70715,12.84867
142,0.09909172,0.06866671,3.385839,1.550748,0.7413723,5.76345,0.8216153,24.20158,18.50058,8.066285,13.88302
143,0.09914481,0.06872172,3.378863,1.548875,0.7485394,5.99619,0.8140556,25.95109,14.14367,3.501689,10.57153
144,0.09919421,0.0687819,3.371495,1.547903,0.7512714,6.102376,0.8090969,26.38849,8.773673,5.334761,6.956292
145,0.09925386,0.06887101,3.366158,1.548574,0.7485203,5.991405,0.8118546,25.16672,6.432247,12.0674,5.693449
146,0.09932318,0.06897886,3.363214,1.549844,0.7426388,5.745835,0.8194036,23.2934,8.903561,21.12151,7.60208
147,0.09940099,0.06908515,3.36158,1.550743,0.7388664,5.535483,0.8268267,22.30268,16.8157,14.14907,12.55128
148,0.09947679,0.06917104,3.359023,1.550351,0.7434785,5.592417,0.8297262,23.00149,18.01308,15.94604,12.59388
